Diptera_family;Diptera_species;Species_authors_diptera;Species_authors_galls;Sampling_year;Genus/Species_host_plant_adjusted;Genus/Species_host_plant_original_paper;Host_plant_family;Site_states;Site_municipality ;Study_location;Vegetation_type;Complete_references;;;;;;;;;;;;;
Cecidomyiidae;Brethesiamyia retorta Maia, 2009;Maia, 2009;Maia, Fernandes & Negreiros, 2009;2009;Myrcia retorta Cambess.;NA;Myrtaceae;Minas Gerais;Três Marias;NA;Cerrado;Maia, V.C., G. W. Fernandes and D. Negreiros. 2009. A new genus and species of gall midge (Diptera, Cecidomyiidae) associated with Myrcia retorta (Myrtaceae) Revista Brasileira de Entomologia 53: 38–40.;;;;;;;;;;;;;
Cecidomyiidae;Bruggmannia chapadensis Proença & Maia, 2018 ;Proença & Maia, 2018;Proença & Maia, 2018;2018;Guapira pernambucensis (Casar.) Lundell ;NA;Nyctaginaceae;Mato Grosso;Chapada dos Guimarães;PNCG;Cerrado;Proença, B. and V. C. Maia. 2018. Bruggmannia chapadensis sp. nov. (Diptera: Cecidomyiidae), a new midge inducing galls on Guapira pernambucensis (Nyctaginaceae) from the Parque Nacional da Chapada dos Guimarães, Mato Grosso State, Brazil. Zoologia 35: 1-6.;;;;;;;;;;;;;
Cecidomyiidae;Bruggmanniella doliocarpi Maia, 2010;Maia, 2010;Maia, Fernandes & Oliveira, 2009;2010;Doliocarpus dentatus (Aubl.) Standl. ;NA;Dilleniaceae;Minas Gerais ;Dores do Indaiá;NA;Cerrado;Maia, V.C., G. W. Fernandes and L.A. Oliveira. 2010. A new species of Bruggmanniella (Diptera, Cecidomyiidae, Asphondyliini) associated with Doliocarpus dentatus (Dillenicaceae). Revista Brasileira de Entomologia 54: 225–228.;;;;;;;;;;;;;
Cecidomyiidae;Bruggmanniella duguetiae Urso-Guimarães & Amorim, 2005;Urso-Guimarães & Amorim, 2005;Urso-Guimarães & Amorim, 2005;2005;Duguetia furfuracea (A.St.-Hil.) Saff.;NA;Annonaceae;São Paulo ;São Carlos;NA;Cerrado;Urso-Guimaraes, M.V. and D.S. Amorim. 2005. Two new species of Bruggmanniella Tavares, 1909 (Diptera: Cecidomyiidae) from Brazil. Studia Dipterologica 11 (2004): 429–436.;;;;;;;;;;;;;
Cecidomyiidae;Bruggmanniella ingae Urso-Guimarães & Amorim, 2005;Urso-Guimarães & Amorim, 2005;Urso-Guimarães & Amorim, 2005;2005;Inga edulis Mart. ;NA;Fabaceae;São Paulo ;between São José do Rio Preto & Tapiratiba;NA;Cerrado;Urso-Guimaraes, M.V. and D.S. Amorim. 2005. Two new species of Bruggmanniella Tavares, 1909 (Diptera: Cecidomyiidae) from Brazil. Studia Dipterologica 11 (2004): 429–436.;;;;;;;;;;;;;
Cecidomyiidae;Clinodiplosis agerati Maia, 2016;Maia, 2016;Maia & Araújo, 2016;2016;Ageratum conyzoides L.;NA;Asteraceae;Minas Gerais;Dores do Indaiá;NA;Cerrado;Maia, V.C. and L. Araújo. 2016. Clinodiplosis agerati (Diptera, Cecidomyiidae), a new galling species associated with Ageratum conyzoides (Asteraceae) from Brazil. Brazilian Journal of Biology 76: 782–786.;;;;;;;;;;;;;
Cecidomyiidae;Clinodiplosis bellum Urso-Guimarães & Carmo-Neto, 2015;Urso-Guimarães & Carmo-Neto, 2015;Urso-Guimarães & Carmo-Neto, 2015;2015;Diplopterys pubipetala (A.Juss.) W.R.Anderson & C.C.Davis;NA;Malpighiaceae;São Paulo ;Altinópolis;Itambé touristic complex area;Cerrado;Urso-Guimaraes, M.V. and A.M. Carmo-Neto. 2015. A new species of gall midge associated with Diplopterys pubipetala (A. Juss.) Anderson and Davis (Malpighiaceae) from Altinopolis, Sao Paulo, Brazil. Brazilian Journal of Biology 75: 173-179.;;;;;;;;;;;;;
Cecidomyiidae;Contarinia gemmae Maia, 2002;Maia, 2002;Madeira, Maia & Monteiro, 2002;2002;Calophyllum brasiliense Cambess.;NA;Clusiaceae;Rio de Janeiro, São Paulo, Minas Gerais, Goiás;Carapebus;NA;Transição caatinga-cerrado;Madeira, J.A., V.C. Maia and R.F. Monteiro. 2003. Gall makers (Cecidomyiidae, Diptera) on Calophyllum brasiliense Camb. (Clusiaceae): descriptions and biology. Arquivos do Museu Nacional 61: 31–48.;;;;;;;;;;;;;
Cecidomyiidae;Couridiplosis vena Maia, 2004;Maia, 2004;"Maia, 2004; Ribeiro, Balbi & Urso-Guimarães, 2019";2004, 2019;Croton floribundus Spreng.;NA;Euphorbiaceae;Minas Gerais, São Paulo ;Tiradentes, Altinópolis;Serra de São José, Itambé touristic complex area;Cerrado;"Maia, V.C. 2004. A new genus and six new species of gall midges (Diptera,Cecidomyiidae) from Serra de São José (Minas Gerais State), Brazil). Arquivos do Museu Nacional 62: 69?82.; 2.; Ribeiro, A. N., M. I. P. A. Balbi, and M. V. Urso-Guimarães. 2019. Characterization of insect galls from natural vegetation area in Altinópolis, São Paulo State, Brazil. Papéis Avulsos De Zoologia 59, e20195904. ";;;;;;;;;;;;;
Cecidomyiidae;Dasineura occulta Pereira-Colavite & Urso-Guimarães, 2013;Pereira-Colavite & Urso-Guimarães, 2013;Pereira-Colavite & Urso-Guimarães, 2013;2013;Hypochaeris chillensis (Kunth) Britton ;NA;Asteraceae;São Paulo ;São Carlos;Universidade Federal de São Carlos;Cerrado;Pereira-Colavite, A. and M.V. Urso-Guimarães. 2013. Nova espécie de Dasineura Rondani, 1840 (Diptera, Cecidomyiidae) em capítulos de Hypochaeris chillensis (Kunth) Britton (Asteraceae) para o Brasil. Papéis Avulsos de Zoologia 53: 59–66.;;;;;;;;;;;;;
